Episode,Reward,Penalties,State,Hashed_State,value
60,-10,0,"{""en_peligro"": 0, ""flashlight"": 0, ""foxy_en_pasillo"": 0, ""hallway"": 0, ""last_action"": 3, ""left_vent"": 0, ""num_camera"": 9, ""open_monitor"": 0, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 0}",37,-10.593232848602511
60,3,0,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 9, ""open_monitor"": 1, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",37,-9.869503534658412
60,-5,1,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 0, ""left_vent"": 1, ""num_camera"": 10, ""open_monitor"": 1, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",27,-10.495876316659016
60,-5,2,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 0, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",2,9.760613316357889
60,-10,2,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 4, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",14,-8.304587287743729
60,-10,2,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",37,-10.474723393272075
60,-5,3,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 5, ""open_monitor"": 1, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",38,-10.654412676701638
60,-5,4,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 0, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",21,-2.14569585191376
60,-10,4,"{""en_peligro"": 0, ""flashlight"": 0, ""foxy_en_pasillo"": 0, ""hallway"": 0, ""last_action"": 4, ""left_vent"": 0, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 1, ""put_mask"": 1, ""right_vent"": 1}",14,-8.348713952577741
60,-10,4,"{""en_peligro"": 0, ""flashlight"": 0, ""foxy_en_pasillo"": 0, ""hallway"": 0, ""last_action"": 1, ""left_vent"": 0, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",29,-4.59997478638303
60,-5,5,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 12, ""open_monitor"": 1, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",16,-2.9315607139994433
60,-5,6,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 0, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 1, ""put_mask"": 0, ""right_vent"": 1}",12,1.4928378161599059
60,-5,7,"{""en_peligro"": 0, ""flashlight"": 1, ""foxy_en_pasillo"": 0, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",14,-8.123352514202601
60,-5,8,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 12, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",35,1.6415452116312081
60,6,8,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 0, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,3.868794245139555
60,-5,9,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",13,-6.704672047098796
60,6,9,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 11, ""open_monitor"": 1, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",2,9.970188783703573
60,-5,10,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 3, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",0,3.36359576607267
60,6,10,"{""en_peligro"": 1, ""flashlight"": 0, ""foxy_en_pasillo"": 1, ""hallway"": 0, ""last_action"": 2, ""left_vent"": 0, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 1, ""right_vent"": 1}",2,10.171381232355431
60,6,10,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 1, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",16,-2.2142982854394653
60,6,10,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",18,-0.17877578064942612
60,6,10,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,4.314042475333973
60,6,10,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,4.741480776320614
60,6,10,"{""en_peligro"": 1, ""flashlight"": 1, ""foxy_en_pasillo"": 1, ""hallway"": 1, ""last_action"": 2, ""left_vent"": 1, ""num_camera"": 0, ""open_monitor"": 0, ""puppet_sin_tiempo"": 0, ""put_mask"": 0, ""right_vent"": 1}",19,5.15182154526779
