                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0114,                 4.3389,                 5.0507,                 2.0467,                0.63556,                 0.1925,                 0.2594,                 0.1552,                0.63556,                 0.1925,                0.25844,                0.15822,                 1.5361,                 1.2994,                 4.7596,                 1.8021,              9.282e-05,              9.282e-05,              9.282e-05
                      2,                 1.5538,                0.95954,                 2.8789,                 1.5809,                0.50343,                0.47106,                0.46191,                0.28635,                0.49565,                0.46131,                0.44956,                0.27354,                 1.4238,                 2.4766,                 7.2695,                 1.7574,             0.00019183,             0.00019183,             0.00019183
                      3,                 1.4802,                0.79539,                  2.401,                 1.4839,                 0.3719,                0.62988,                0.32836,                0.18924,                0.39513,                0.60988,                0.33948,                0.18134,                 1.4221,                 2.2379,                    inf,                 1.5565,             0.00028984,             0.00028984,             0.00028984
                      4,                 1.3858,                0.65667,                 2.0667,                  1.472,                0.18419,                0.44342,                0.12014,                0.05506,                0.18419,                0.44342,                0.11979,                 0.0508,                 1.4133,                 2.2224,                    inf,                 1.7163,             0.00038687,             0.00038687,             0.00038687
                      5,                 1.4796,                0.70301,                 2.1609,                 1.5415,                0.61945,                0.50516,                0.52216,                0.31312,                0.61148,                0.49516,                0.49926,                0.28424,                 1.4705,                 2.7042,                 7.3416,                  1.811,             0.00048291,             0.00048291,             0.00048291
                      6,                 1.3663,                0.64471,                 1.8657,                 1.4696,                0.54147,                0.43806,                0.31031,                0.15305,                0.55224,                0.42218,                0.29887,                0.13447,                 1.6562,                 2.2026,                 89.529,                 2.2053,             0.00057795,             0.00057795,             0.00057795
                      7,                 1.4316,                0.69451,                 1.8158,                 1.4973,                0.65102,                0.55318,                0.61473,                0.36274,                0.64081,                0.54359,                0.59589,                0.35139,                 1.5348,                 2.0661,                 7.2115,                 2.0809,             0.00067201,             0.00067201,             0.00067201
                      8,                 1.3885,                0.77172,                 1.6639,                 1.4881,                0.71672,                0.59477,                0.67065,                0.42351,                 0.7084,                0.58477,                0.64855,                0.39818,                 1.4703,                  1.935,                 2.2957,                  1.941,             0.00068926,             0.00068926,             0.00068926
                      9,                 1.4358,                0.66321,                 1.5332,                 1.5514,                0.75263,                0.58908,                0.66475,                0.39814,                0.87105,                0.55465,                0.66787,                0.39584,                 1.5788,                 2.0716,                 2.8968,                 1.9785,             0.00068926,             0.00068926,             0.00068926
                     10,                 1.4766,                0.67603,                 1.6061,                 1.5635,                0.91052,                0.55963,                0.70025,                0.43389,                0.89785,                0.54978,                0.68057,                0.39997,                 1.4463,                 1.5766,                  1.975,                 1.8395,             0.00068573,             0.00068573,             0.00068573
                     11,                 1.4147,                0.66611,                 1.3751,                 1.5349,                0.79399,                0.55379,                0.65868,                0.39565,                0.80564,                0.54847,                0.65331,                0.38189,                 1.5007,                  1.669,                 2.0085,                 1.8975,             0.00068219,             0.00068219,             0.00068219
                     12,                 1.2868,                  0.624,                 1.4387,                 1.4591,                0.67862,                0.62398,                0.70037,                0.40481,                0.67583,                0.61398,                0.68361,                0.37831,                 1.5729,                 1.8978,                 1.8991,                 1.9079,             0.00067866,             0.00067866,             0.00067866
                     13,                 1.2895,                0.66281,                 1.2875,                 1.4122,                0.67752,                0.60628,                0.64768,                0.37989,                  0.677,                0.59628,                0.64207,                0.37269,                 1.4762,                 2.1209,                 3.8167,                 1.8382,             0.00067512,             0.00067512,             0.00067512
                     14,                 1.3563,                0.65246,                 1.3625,                 1.5114,                 0.7123,                0.61182,                0.73657,                0.44783,                0.70262,                0.60182,                0.70944,                0.41643,                 1.4793,                 1.4225,                 1.7583,                 1.8125,             0.00067159,             0.00067159,             0.00067159
                     15,                 1.3417,                0.66878,                 1.2664,                 1.4412,                0.81568,                0.68646,                0.77266,                0.47519,                0.80109,                0.66646,                0.72939,                0.43695,                 1.3665,                  1.465,                 1.4806,                 1.7121,             0.00066805,             0.00066805,             0.00066805
                     16,                 1.3315,                0.63809,                 1.3089,                 1.4868,                 0.8365,                0.65003,                0.78309,                0.48195,                0.82478,                0.64331,                0.77487,                0.43948,                 1.4429,                 2.2613,                 1.8393,                 1.8889,             0.00066452,             0.00066452,             0.00066452
                     17,                 1.3201,                0.65246,                 1.2262,                 1.5064,                0.84065,                0.66551,                0.82842,                0.52066,                0.82024,                0.65591,                0.80874,                0.47906,                 1.4061,                 2.3171,                 1.4507,                 1.7048,             0.00066099,             0.00066099,             0.00066099
                     18,                 1.3077,                0.57403,                 1.1306,                 1.4642,                0.85729,                0.68084,                0.79858,                0.46622,                0.84566,                0.67125,                0.78293,                  0.452,                 1.5185,                  2.077,                 1.3813,                 1.7979,             0.00065745,             0.00065745,             0.00065745
                     19,                 1.3157,                0.64087,                 1.0842,                 1.4237,                0.85094,                0.74844,                0.84011,                0.50548,                0.83462,                0.74339,                0.82107,                0.47228,                 1.4834,                 2.1037,                 1.2691,                 1.8824,             0.00065392,             0.00065392,             0.00065392
                     20,                  1.278,                0.56248,                 1.1421,                  1.484,                0.85943,                0.73403,                0.81932,                0.49974,                0.84718,                0.72412,                0.80045,                 0.4445,                 1.5007,                  1.778,                 1.3378,                 1.9771,             0.00065038,             0.00065038,             0.00065038
                     21,                 1.2736,                0.67412,                 1.1505,                 1.4477,                0.86947,                0.81037,                0.86064,                0.53989,                0.85812,                0.80077,                0.84223,                0.49166,                 1.4574,                 1.5881,                 1.1447,                 1.8726,             0.00064685,             0.00064685,             0.00064685
                     22,                 1.2717,                0.62534,                 1.0843,                 1.4094,                0.87028,                0.83894,                0.91432,                0.57702,                0.85282,                0.82906,                0.90333,                0.54573,                 1.3703,                 1.7401,                 1.0421,                 1.6918,             0.00064331,             0.00064331,             0.00064331
                     23,                 1.2533,                0.58516,                 1.0622,                 1.4451,                0.77756,                0.80396,                0.83641,                0.53272,                0.76572,                0.79409,                0.81389,                0.49416,                 1.4327,                 1.3363,                 1.0923,                 1.8839,             0.00063978,             0.00063978,             0.00063978
                     24,                 1.2353,                0.68533,                 1.0438,                 1.3972,                0.81376,                0.77727,                0.89322,                 0.5334,                0.80223,                0.76762,                0.87489,                0.48707,                 1.5522,                 1.1928,                 1.0677,                 1.9709,             0.00063625,             0.00063625,             0.00063625
                     25,                   1.22,                0.58504,                 1.0208,                 1.4266,                0.89035,                0.72076,                0.88652,                0.55778,                0.87793,                0.71076,                0.86716,                0.52203,                 1.3894,                0.90529,                 1.3466,                 1.6892,             0.00063271,             0.00063271,             0.00063271
                     26,                 1.2572,                0.52887,                 1.0454,                 1.4525,                0.88243,                0.81525,                 0.8804,                0.53243,                0.87139,                0.80525,                0.86181,                0.48215,                  1.437,                 1.3779,                 1.0963,                 1.8005,             0.00062918,             0.00062918,             0.00062918
                     27,                  1.237,                0.58216,                 1.0938,                 1.4342,                0.89238,                0.76164,                0.84876,                0.52411,                0.87857,                0.75164,                0.82941,                0.49333,                 1.4188,                 1.5827,                 1.2013,                 1.8109,             0.00062564,             0.00062564,             0.00062564
                     28,                  1.226,                0.61559,                 1.0804,                 1.3966,                0.85221,                0.71824,                0.86476,                0.54101,                0.83436,                0.70824,                0.84719,                0.49831,                  1.421,                  1.745,                 1.1781,                 1.7587,             0.00062211,             0.00062211,             0.00062211
                     29,                 1.1478,                0.60964,                0.90619,                 1.3178,                0.82239,                0.83536,                0.94421,                0.58038,                0.91439,                0.72559,                0.91249,                 0.5487,                 1.4484,                  1.859,                0.91193,                  1.774,             0.00061857,             0.00061857,             0.00061857
                     30,                 1.2546,                0.57508,                 1.0722,                 1.4563,                0.86808,                0.78547,                0.89182,                0.51843,                0.85651,                0.77547,                 0.8532,                0.48245,                 1.5524,                 2.0678,                 1.0516,                 1.8745,             0.00061504,             0.00061504,             0.00061504
                     31,                 1.1725,                0.57125,                 0.9267,                 1.3737,                0.86263,                0.81849,                0.91747,                0.56701,                0.85058,                0.80849,                0.90251,                0.52473,                 1.4551,                 1.8492,                0.89013,                 1.8576,             0.00061151,             0.00061151,             0.00061151
                     32,                 1.1752,                0.57245,                0.94965,                 1.3685,                0.89596,                0.88045,                0.93618,                0.62042,                0.88642,                0.87045,                 0.9184,                0.59668,                 1.3963,                 1.5213,                0.93922,                  1.756,             0.00060797,             0.00060797,             0.00060797
                     33,                 1.1655,                0.57132,                 1.0143,                 1.3306,                0.76366,                 0.8498,                 0.9275,                 0.5615,                0.73959,                0.83493,                0.89605,                0.52221,                 1.4836,                 1.8122,                0.95195,                 1.8584,             0.00060444,             0.00060444,             0.00060444
