                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3334,                 4.9953,                 3.9738,                 2.3564,                0.11532,                0.05882,                0.02183,                0.00628,                0.11532,                0.05882,                0.02576,                0.00694,                 2.2795,                 5.1831,                 4.2647,                  2.795,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.1542,                 3.5829,                 3.5807,                 2.2306,                 0.4897,                0.35294,                 0.3277,                0.20976,                 0.4897,                0.35294,                0.32722,                0.19328,                 1.3918,                 1.4282,                 4.6146,                 1.8692,             0.00017822,             0.00017822,             0.00017822
                      3,                  1.451,                0.71668,                 2.1723,                 1.5716,                0.16846,                0.70588,                0.15566,                0.08361,                0.16846,                0.70588,                0.15147,                 0.0756,                 1.5473,                 2.0642,                 12.963,                 2.0789,             0.00027446,             0.00027446,             0.00027446
                      4,                 1.5001,                0.63583,                 1.5934,                 1.5491,                0.00907,                0.88235,                0.01503,                0.00643,                0.00568,                0.47059,                0.00478,                0.00232,                 1.6144,                 7.0701,                 172.16,                  1.817,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.4924,                0.76268,                 1.5109,                 1.4587,                0.00421,                0.82353,                  0.004,                0.00169,                0.00218,                0.58824,                0.00209,                0.00076,                 1.6702,                 39.458,                    inf,                  3.011,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.3915,                0.66955,                 1.4019,                 1.4347,                0.00503,                      1,                0.06178,                0.02039,                0.00603,                0.94118,                 0.0628,                0.02063,                 1.6619,                 1.1694,                    inf,                 3.2323,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.4202,                0.56636,                  1.359,                 1.4995,                0.00488,                0.70588,                0.00581,                0.00236,                0.00407,                0.58824,                0.00485,                0.00214,                 1.9241,                 2.2457,                    inf,                 5.6199,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.3915,                0.48766,                  1.229,                 1.4794,                0.00887,                0.41176,                0.00884,                0.00414,                0.01014,                0.47059,                0.01032,                  0.004,                 1.9789,                 3.8465,                 321.07,                 3.5509,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.4761,                0.60753,                 1.3878,                 1.5309,                0.01286,                0.47059,                0.04195,                0.01201,                0.01286,                0.47059,                0.04195,                0.01214,                 2.0633,                 0.5847,                 248.57,                 4.8373,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.5771,                0.85337,                 1.2479,                 1.5957,                0.00525,                0.76471,                0.06167,                 0.0349,                0.00496,                0.70588,                0.05931,                0.03459,                 2.3274,                 1.4372,                    inf,                 14.078,             0.00089268,             0.00089268,             0.00089268
