                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9115,                 4.1082,                 4.9419,                 2.0262,                0.57807,                0.19853,                0.21323,                0.11413,                0.57807,                0.19853,                0.21281,                0.11477,                 1.6199,                0.52774,                 5.6699,                 1.6537,              9.408e-05,              9.408e-05,              9.408e-05
                      2,                  1.492,                  1.021,                 2.9999,                 1.5849,                0.51935,                 0.4478,                0.50567,                0.30472,                0.51935,                 0.4478,                0.50567,                0.29362,                 1.5821,                0.51909,                 4.1086,                 1.6918,             0.00019308,             0.00019308,             0.00019308
                      3,                 1.4589,                0.88514,                 2.5156,                  1.553,                0.27185,                0.49866,                0.28029,                0.15496,                0.27185,                0.49866,                0.28029,                0.15389,                 1.7018,                 1.2504,                  45.56,                 1.9374,             0.00029109,             0.00029109,             0.00029109
                      4,                 1.4023,                 1.0088,                 2.1244,                 1.5096,                0.58774,                0.42821,                0.40395,                0.25407,                0.58774,                0.42821,                0.40395,                0.23975,                 1.6774,                 2.6505,                 8.8895,                 1.7907,             0.00038811,             0.00038811,             0.00038811
                      5,                 1.4496,                0.96376,                 1.9007,                 1.4987,                0.58826,                0.56412,                0.55896,                0.33279,                0.58826,                0.56412,                0.56148,                0.32742,                 1.7564,                0.77417,                 52.235,                 2.0065,             0.00048414,             0.00048414,             0.00048414
                      6,                 1.3927,                0.92215,                  1.764,                 1.5144,                0.50929,                 0.6204,                0.55909,                0.33874,                0.50929,                 0.6204,                0.55435,                0.33685,                 1.5795,                0.62711,                  5.094,                 1.9284,             0.00057345,             0.00057345,             0.00057345
                      7,                  1.408,                0.95536,                 1.6854,                 1.5111,                0.38854,                0.55443,                0.50891,                0.29106,                0.38854,                0.55443,                 0.5105,                0.29904,                 1.7745,                 1.0987,                 2.0584,                 1.9098,             0.00057345,             0.00057345,             0.00057345
                      8,                 1.4245,                0.91645,                 1.7264,                 1.5509,                0.63356,                0.55514,                0.62074,                0.36782,                0.63356,                0.55514,                0.62784,                  0.367,                 1.7484,                0.75004,                  2.247,                 2.0387,             0.00057054,             0.00057054,             0.00057054
                      9,                 1.3606,                0.74436,                 1.5672,                 1.4901,                0.80469,                0.66349,                0.74987,                0.46126,                0.80469,                0.66349,                0.75039,                0.46727,                 1.6785,                0.78261,                 1.5102,                 1.8788,             0.00056763,             0.00056763,             0.00056763
                     10,                  1.342,                0.77019,                 1.4437,                 1.4833,                0.68569,                0.58589,                0.60488,                0.37424,                0.68569,                0.58589,                0.60584,                 0.3822,                 1.7135,                0.72559,                 3.0721,                  1.956,             0.00056472,             0.00056472,             0.00056472
